compound_name,compound_type,formula,stan_mz,stan_rt,mix,conc_um,date_added,name_old,kegg_id,polarity,peak_quality
Maltotriose,Sugar,C18H32O16,503.161215,13.03,NA,NA,NA,Maltotriose,cpd:C01835,neg,No; not currently in HILIC standard mix
Melamine,Cursed,C3H6N6,127.073219,6.68,Mix2,4,180701,Melamine,cpd:C08737,pos,Yes
Methylphosphonic acid,Organic Acid,CH5O3P,94.989808,11,Mix1,4,160401,Methylphosphonic Acid,cpd:C20396,neg,Yes
Muramic acid,Peptidoglycan,C9H17NO7,252.108329,11,Mix1,4,160401,Muramic Acid,cpd:C06470,pos,"Problematic; Muramic acid and Deoxyadenosine have the same mass, peak order is Deoxyadenosine and Muramic acid"
"N6,N6,N6-Trimethyl-L-lysine",Betaine,C9H20N2O2,189.160303,17.14,Mix2,4,190514,Trimethyl-L-lysine,cpd:C03793,pos,Yes
N6-Acetyl-L-lysine,Amino Acid - degraded,C8H16N2O3,189.123918,9.71,Mix1,4,170331,N(e)-Acetyl-Lysine,cpd:C02727,pos,Yes
N6-Methyladenine,Purine derivative,C6H7N5,150.07797,3.97,Mix2,4,190514,6-Methyladenine,cpd:C08434,pos,Yes
N-Acetyl-D-glucosamine,Amino sugar,C8H15NO6,222.097764,8.55,Mix2,6,190514,N-Acetylglucosamine,cpd:C00140,pos,Yes; has a messy peak shape
N-Acetyl-L-glutamic acid,Amino Acid derivative,C7H11NO5,190.071549,11.84,Mix1,4,190715,Acetylglutamic acid,cpd:C00624,pos,Yes
N-Acetyl-L-glutamic acid,Amino Acid derivative,C7H11NO5,188.055899,11.84,Mix1,4,190715,Acetylglutamic acid,cpd:C00624,neg,Yes
N-Acetylmuramic acid,Amino sugar,C11H19NO8,294.118894,3.35,Mix2,5,190514,N-Acetylmuramic acid,cpd:C02713,pos,Yes; has a messy peak shape
N-Acetylmuramic acid,Amino sugar,C11H19NO8,292.103244,3.35,Mix2,5,190514,N-Acetylmuramic acid,cpd:C02713,neg,Yes; has a messy peak shape
N-Acetyltaurine,Sulfur,C4H9NO4S,166.017406,3.74,Mix2,4,160401,N-acetyltaurine,NA,neg,Yes; can have a messy peak shape
NAD,Redox,C21H27N7O14P2,662.101304,10.6,Mix2,4,160401,NAD,cpd:C00003,neg,Yes
NADH,Redox,C21H27N7O14P2,664.116954,11.26,Mix2,4,160401,NADH,cpd:C00004,neg,Yes
NADP,Redox,C21H29N7O17P3,742.067637,12.74,Mix2,4,160401,NADP,cpd:C00006,neg,Problematic; particulate matrix effect
NADPH,Redox,C21H29N7O17P3,744.083287,13.345,Mix2,4,160401,NADPH,cpd:C00005,neg,Problematic; doesn't always look good
Nicotinic acid,Vitamin,C6H5NO2,124.039854,2.68,Mix2,4,160401,Vitamin B3,cpd:C00253,pos,"No; not currently in HILIC standard mix, analyzed using RP"
N-Methyltaurine,Sulfur,C3H9NO3S,140.038141,6.06,Mix2,4,160401,N-methyltaurine,NA,pos,Problematic; integrate the first peak you see around 7 minutes
O-Acetylcarnitine,Betaine,C9H17NO4,204.123584,7.22,Mix1,4,180130,Acetyl-L-carnitine,cpd:C02571,pos,Yes
O-Acetyl-L-serine,Amino Acid - degraded,C5H9NO4,148.060984,6.27,Mix1,4,170331,N-Acetyl-Serine,cpd:C00979,pos,"Problematic; integrate the first peak you see around 6 minutes, messy peak shape"
O-Methylmalonyl-L-carnitine,Betaine,C11H19NO6,262.129063,9.67,Mix2,4,180701,Methylmalonyl carnitine,NA,pos,Yes
Ophthalmic acid,Tripeptide,C11H19N3O6,290.135212,10.73,Mix1,5,180130,Ophthalmic Acid,cpd:C21016,pos,Yes
O-Propionylcarnitine,Betaine,C10H19NO4,218.139234,5.63,Mix1,4,180130,Propionyl-L-carnitine,cpd:C03017,pos,Yes
Orotic acid,Organic Acid,C5H4N2O4,155.009283,4.195,Mix1,4,160401,Orotic Acid,cpd:C00295,neg,Yes; can have a messy peak shape
O-Succinylhomoserine,Amino Acid derivative,C8H13NO6,220.081564,9.57,Mix1,5,210415,O-Succinylhomoserine,cpd:C01118,pos,Yes
O-Succinylhomoserine,Amino Acid derivative,C8H13NO6,218.067011,9.57,Mix1,5,210415,O-Succinylhomoserine,cpd:C01118,neg,Yes
Oxalic acid,Organic Acid,C2H2O4,88.987485,13.235,Mix1,4,160401,Oxalic Acid,cpd:C00209,neg,Problematic; particulate matrix effect
Phosphocholine,Betaine,C5H15NO4P,184.073321,12.26,Mix1,5,210415,Phosphocholine,cpd:C00588,pos,Yes
Phosphoenolpyruvic acid,Organic Acid,C3H5O6P,166.974553,13.865,Mix1,4,160401,PEP,cpd:C00074,neg,Problematic; particulate matrix effect
Pipecolic acid,Amino Acid derivative,C6H11NO2,130.086255,10.79,Mix1,5,210415,Pipecolic acid,cpd:C00408,pos,Yes
Pipecolic acid,Amino Acid derivative,C6H11NO2,128.071154,10.79,Mix1,5,210415,Pipecolic acid,cpd:C00408,neg,Yes
Proline betaine,Betaine,C7H13NO2,144.102454,7.18,Mix1,0.5,170331,Stachydrine hydrochloride,cpd:C10172,pos,Yes
Propionyl-CoA,Co-enzyme A,C24H40N7O17P3S,822.133609,8.83,Mix1,4,160401,Propionyl CoA,cpd:C00100,neg,No; not currently in HILIC standard mix
Propionylglycine,Amino Acid derivative,C5H9NO3,130.050419,5.52,Mix1,5,190715,Propionylglycine,NA,neg,Yes; can have a messy peak shape
Riboflavin-5-phosphate,Redox,C17H21N4O9P,455.096794,8.6,Mix2,4,160401,Riboflavin Monophosphate,cpd:C00061,neg,Yes
Riboflavin-5-phosphate,Redox,C17H21N4O9P,457.112444,8.6,Mix2,4,160401,Riboflavin Monophosphate,cpd:C00061,pos,Yes
S-Adenosylhomocysteine,Amino Acid synthesis,C14H20N6O5S,385.129416,10.85,Mix1,4,160401,Adenosyl Homocysteine,cpd:C00021,pos,"No; not currently in HILIC standard mix, analyzed using RP"
S-Adenosylmethionine,Amino Acid synthesis,C15H22N6O5S,399.145066,13.01,Mix1,4,160401,Adenosyl Methionine,cpd:C00019,pos,"No; not currently in HILIC standard mix, analyzed using RP"
Salicylic acid,Antioxidant,C7H6O3,137.02387,2.2,Mix1,4,160401,Salicylic Acid,cpd:C00805,neg,Yes
Sarcosine,Glycine metabolite,C3H7NO2,90.055504,10.6,Mix2,4,160401,Sarcosine,cpd:C00213,pos,"Problematic; Sarcosine, Alanine, and beta Alanine all have the same mass, peak order is Sarcosine, Alanine, beta Alanine"
S-Farnesyl-L-cysteine methyl ester,Post translational modified amino acid,C19H33NO2S,340.231026,1.58,NA,NA,180130,S-Farnesyl-L-cysteine Methyl Ester,NA,pos,"No; not currently in HILIC standard mix, analyzed using RP"
Shikimic acid,Amino Acid synthesis,C7H10O5,173.045,10.97,Mix1,5,160401,Shikimic Acid,cpd:C00493,neg,"Problematic; cis-Aconitic acid and Shikimic acid have the same mass, peak order is Shikimic acid and then cis-Aconitic acid"
Sodium 2-mercaptoethanesulfonate,Sulfur,C2H5O3S2,140.968013,2.67,Mix2,4,160401,MESNA (Sodium 2-mercaptoethanesulfonate),NA,neg,Yes
Succinic acid,Organic Acid,C4H6O4,117.018785,11.9,Mix1,4,160401,Succinic Acid,cpd:C00042,neg,Yes
"Succinic acid, 2H4",Internal Standard,C4H(2)4H2O4,121.0444,11.9,NA,10,160401,"Succinic Acid, D4",NA,neg,Yes
Succinic semialdehyde,Amino Acid - degraded,C4H6O3,101.02387,6.51,Mix2,4,180701,Succinic semialdehyde,cpd:C00232,neg,Yes; messy peak shape
Succinyl-CoA,Co-enzyme A,C25H40N7O19P3S,866.123439,12.965,Mix1,4,160401,Succinyl CoA,cpd:C00091,neg,No; not currently in HILIC standard mix
Succinylglycine,Amino Acid derivative,C6H9NO5,176.055899,12.58,Mix1,4,190715,Succinylglycine,NA,pos,Yes
Sucrose,Sugar,C12H22O11,341.10839,11.93,Mix1,5,170331,Sucrose,cpd:C00089,neg,"Problematic; Sucrose and Trehalose have the same mass, peak order is Sucrose and then Trehalose"
"Sucrose, 13C12",Internal Standard,C(13)12H22O11,353.1497,11.77,NA,5,170601,"Sucrose, 13C",NA,neg,"Problematic; Sucrose and Trehalose have the same mass, peak order is Sucrose and then Trehalose"
Sulfanilic acid,Environmental contaminant,C6H7NO3S,172.006841,7.23,Mix2,4,180701,Sulfanilic Acid,cpd:C06335,neg,Yes
Sulfoacetic acid,Sulfur,C2H4O5S,138.970122,13.9,Mix2,4,160401,Sulfoacetic Acid,cpd:C14179,neg,Yes
"Sulfoacetic acid, 13C2",Internal Standard,C(13)2H4O5S,140.9774,13.9,NA,2.5,160401,"Sulfoacetic Acid, 13C2",NA,neg,Yes
Sulfolactate,Sulfur,C3H6O6S,168.980687,13.275,Mix2,16,160401,Sulfolactic Acid,cpd:C11537,neg,Yes; small peak
Taurine,Sulfur,C2H7NO3S,124.006841,11.13,Mix2,4,160401,Taurine,cpd:C00245,neg,Yes; RT may shift a bit
Taurine,Sulfur,C2H7NO3S,126.022491,11.12,Mix2,4,160401,Taurine,cpd:C00245,pos,Yes; RT may shift a bit
"Taurine, 2H4",Internal Standard,C2H(2)4H3NO3S,128.0325,10,NA,1,160401,"Taurine, D4",NA,neg,Yes
Taurocyamine,Sulfur,C3H9N3O3S,168.043738,12.02,Mix1,5,210415,Taurocyamine,cpd:C01959,pos,Yes
Taurocyamine,Sulfur,C3H9N3O3S,166.029185,12.02,Mix1,5,210415,Taurocyamine,cpd:C01959,neg,Yes
Thiamine diphosphate,Vitamin (B1-derivative),C12H19N4O7P2S,425.044974,13.765,Mix1,4,160401,Thiamine pyrophosphate,cpd:C00068,pos,Yes; messy peak shape
Thiamine monophosphate,Vitamin (B1-derivative),C12H18N4O4PS,345.078641,11.5,Mix1,4,160401,Thiamine monophosphate,cpd:C01081,pos,Yes; messy peak shape
Threonic acid,Sugar,C4H8O5,135.02935,10.37,Mix1,4,190715,Threonic acid,cpd:C01620,neg,Yes
Thymidine,Nucleoside,C10H14N2O5,241.082448,3.27,Mix1,4,160401,Thymidine,cpd:C00214,neg,Yes
Thymine,Nucleic Acid,C5H6N2O2,127.050753,3.02,Mix2,4,160401,Thymine,cpd:C00178,pos,"Yes; may also see Thymidine, get correct RT from Mix 2"
Thymine,Nucleic Acid,C5H6N2O2,125.035103,3.02,Mix2,4,160401,Thymine,cpd:C00178,neg,"Yes; may also see Thymidine, get correct RT from Mix 2"
"Thymine, 2H4",Internal Standard,C5H(2)4H2N2O2,129.0602,3.06,NA,6,190514,"Thymine, D4",NA,neg,Yes
Trehalose,Antioxidant,C12H22O11,341.10839,13,Mix2,4,160401,Trehalose,cpd:C01083,neg,"Problematic; Sucrose and Trehalose have the same mass, peak order is Sucrose and then Trehalose"
"Trehalose, 13C12",Internal Standard,C(13)12H22O11,353.1497,12.63,NA,5,170601,"Trehalose, 13C",NA,neg,"Problematic; Sucrose and Trehalose have the same mass, peak order is Sucrose and then Trehalose"
Trigonelline,Osmolyte,C7H7NO2,138.055503,8.36,Mix1,0.5,170331,Trigonelline,cpd:C01004,pos,"Problematic; Homarine, Trigonelline, and Adenine 15N2 all have the same mass, peak order is Adenine 15N2, Homarine, and Trigonelline"
Trimethylamine,Osmolyte,C3H9N,60.081324,5.96,Mix1,10,180130,Trimethylamine,cpd:C00565,pos,Yes
Trimethylamine N-oxide,Osmolyte,C3H9NO,76.076239,6.59,Mix1,4,180130,Trimethylamine N-oxide,cpd:C01104,pos,Yes
Turicine,Betaine,C7H13NO3,160.097369,8.48,Mix2,4,180701,Turicine,cpd:C21513,pos,"Problematic; Turicine and Betonicine have the same mass, integrate these two compounds together"
UDP-glucose,Nucleotide sugar,C15H24N2O17P2,565.047204,13.59,Mix2,4,160401,UDP-glucose,cpd:C00029,neg,Yes
UDP-N-acetylglucosamine,Nucleotide sugar,C17H27N3O17P2,606.073753,12.75,Mix2,4,160401,UDP-glucosamine,cpd:C00043,neg,Yes
Uracil,Nucleic Acid,C4H4N2O2,111.019453,4,Mix2,4,160401,Uracil,cpd:C00106,neg,"Yes; may also see Uridine, integrate first peak around 4 minutes"
"Uracil, 15N2, 2H2",Internal Standard,C4H(2)2H2N(15)2O2,115.0261,3.73,NA,8,190514,"Uracil, 15N2-D2",NA,neg,"Problematic; this internal standard does not look good, not currently in skyline file"
Urea,Urea cycle,CH4N2O,61.040188,6.01,Mix1,30,210415,Urea,cpd:C00086,pos,Yes
Uridine,Nucleoside,C9H12N2O6,243.061713,6.02,Mix2,4,160401,Uridine,cpd:C00299,neg,Yes
Urocanic acid,Amino Acid derivative,C6H6N2O2,139.050753,8.16,Mix2,4,180701,Imidazoleacrylic Acid,cpd:C00785,pos,Yes
Urocanic acid,Amino Acid derivative,C6H6N2O2,137.035103,8.16,Mix2,4,180701,Imidazoleacrylic Acid,cpd:C00785,neg,Yes
"Trimethylamine N-oxide, 2H9",Internal Standard,C3H(2)9NO,85.1327,6.9,NA,4,220628,"Trimethylamine N-oxide, 2H9",NA,pos,Yes
"L-Arginine, 13C6, 15N4",Internal Standard,C(13)6H14N(15)4O2,185.1274,18.24,NA,4,220628,"L-Arginine, 13C6, 15N4",NA,pos,Yes
"Nitrate, 15N",Internal Standard,N(15)O3,62.9842,4.55,NA,5,220628,"Nitrate, 15N",NA,neg,Yes
Cysteinolic acid,Sulfur,C3H9NO4S,154.017406,9.5,Mix2,7.5,220111,Cysteinolic acid,NA,neg,"Problematic; same mass as Amino hydroxypropanesulfonate, peak order is Cysteinolic acid and then Amino hydroxypropanesulfonate"
Amino hydroxypropanesulfonate,Sulfur,C3H9NO4S,154.017406,11.5,Mix2,7.5,220111,Amino hydroxypropanesulfonate,NA,neg,"Problematic; same mass as Cysteinolic acid, peak order is Cysteinolic acid and then Amino hydroxypropanesulfonate"
